layer,format,alpha,activation_mse,output_mse,output_nmse,clipped_fraction,zeroed_nonzero_fraction,max_abs_output_error
0,int8,0.8074284071024304,2.7267542023516634e-05,0.00010832543736744068,0.10317449717773244,1.0542571544647217e-05,0.42795052890274177,1.7377434968948364
0,pot,20.2499122332609,1.1104650502719008e-05,2.6122570253812505e-05,0.024880426208527692,2.9802322387695312e-08,0.0,0.31798768043518066
0,sp2,1.6104903319492543,2.3141609326426362e-05,8.549082838166158e-05,0.08142568768650932,3.2782554626464844e-07,0.010218839869399622,1.6173697710037231
1,int8,462.81621037229445,0.0037157123780455735,0.007179204360918347,0.18135545646519932,2.9802322387695312e-08,0.9999993294472667,31.625886917114258
1,pot,384.98824509597915,0.004731869107675385,0.00863265735721474,0.21807145148951787,3.725290298461914e-08,0.0,35.6732063293457
1,sp2,531.3484051543793,0.002530872947653636,0.004661021562401146,0.11774308830724904,2.2351741790771484e-08,0.5638927678294905,28.216787338256836
2,int8,1.2302056431125437,1.1349593270925665e-05,2.5098240257194825e-05,0.010763624519096775,1.8551945686340332e-05,0.308093302632562,0.14976061880588531
2,pot,1.697890298746149,3.4420329635998536e-05,7.485002370477685e-05,0.0321001608936609,4.783272743225098e-06,0.0,0.11818021535873413
2,sp2,1.8616163012791738,4.852552136754032e-06,1.0549983765125277e-05,0.004524463180155534,2.913177013397217e-06,0.004801527953557717,0.11109335720539093
3,int8,1.2205897374793941,1.0773615623492119e-05,2.2486853983205597e-05,0.0067699480762498775,1.3202428817749023e-05,0.23115571943956983,0.12254802137613297
3,pot,2.9267451274634895,5.378804562079392e-05,0.00011064782744266362,0.033311909575974595,7.450580596923828e-08,0.0,0.07727190107107162
3,sp2,2.2204615902197737,6.7078395254341345e-06,1.3915846111681481e-05,0.004189539171799141,8.866190910339355e-07,0.003802822201816069,0.06364821642637253
4,int8,1.2789654177947936,1.4801810006488837e-05,3.093640998665569e-05,0.0076603369146286335,1.798570156097412e-05,0.19859163997252852,0.1954413503408432
4,pot,6.116853634830303,6.524179280431056e-05,0.00013517096153208553,0.03347043522039957,0.0,0.0,0.09461791068315506
4,sp2,2.221989894479867,8.197546638223356e-06,1.7028898160271275e-05,0.0042166203915983,2.2202730178833008e-06,0.0028528211140367815,0.12254665046930313
5,int8,1.0831533432953204,1.1288815197335e-05,2.3976028706277602e-05,0.005291342429975012,2.1092593669891357e-05,0.18330070214067384,0.14722731709480286
5,pot,2.981782447109418,7.295359422665568e-05,0.00015810723994719479,0.034893165897811364,1.1175870895385742e-07,0.0,0.07664451003074646
5,sp2,1.4949334397316987,9.264017541704984e-06,1.9985612504193384e-05,0.0044106853861410784,6.198883056640625e-06,0.002176851634260345,0.12866705656051636
6,int8,0.9072654280234006,7.272049821085387e-06,1.4326521394405679e-05,0.0032910735382334247,2.3424625396728516e-05,0.1633728647086789,0.18566247820854187
6,pot,4.14393921177672,7.312852964343189e-05,0.0001513871447118112,0.03477649683923321,0.0,0.0,0.09245633333921432
6,sp2,1.5053149219520576,8.012540775729439e-06,1.6524009095882393e-05,0.003795878118900679,2.2202730178833008e-06,0.002270430918522791,0.13969412446022034
7,int8,0.9649256708451968,9.438617385829108e-06,2.1153727293575915e-05,0.004100398933462329,2.2374093532562256e-05,0.1605939476294973,0.2102556824684143
7,pot,1.528961648578647,8.451290554321563e-05,0.00018719627191623366,0.03628577522347806,3.5688281059265137e-06,0.0,0.17004311084747314
7,sp2,2.2096260291298444,9.418392912191837e-06,2.0707319063425854e-05,0.0040138679970749625,6.780028343200684e-07,0.0029874153997522176,0.10384678840637207
8,int8,1.7959964241221102,2.3299916913107122e-05,4.8715341836904835e-05,0.00725727868427341,1.6927719116210938e-05,0.22658853757389097,0.1938423067331314
8,pot,3.582280301041176,0.00011346725911656534,0.00024393163415648906,0.03633926771797326,3.427267074584961e-07,0.0,0.10070043057203293
8,sp2,2.845825058278131,1.3508865847636729e-05,2.8824598083151554e-05,0.004294091622141328,1.914799213409424e-06,0.003139280578013805,0.10461527109146118
