The tokenizer class you load from this checkpoint is not the same type as the class this function is called from. It may result in unexpected tokenization. 
The tokenizer class you load from this checkpoint is 'PreTrainedTokenizerFast'. 
The class this function is called from is 'LlamaTokenizerFast'.
You are using the default legacy behaviour of the <class 'transformers.models.llama.tokenization_llama_fast.LlamaTokenizerFast'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565 - if you loaded a llama tokenizer from a GGUF file you can ignore this message.
Token indices sequence length is longer than the specified maximum sequence length for this model (252852 > 2048). Running this sequence through the model will result in indexing errors
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/dongpeiyan/miniconda3/envs/rotation-quant-p0/lib/python3.9/site-packages/transformers/modeling_utils.py:4713: FutureWarning: `_is_quantized_training_enabled` is going to be deprecated in transformers 4.39.0. Please use `model.hf_quantizer.is_trainable` instead
  warnings.warn(
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s]The attention layers in this model are transitioning from computing the RoPE embeddings internally through `position_ids` (2D tensor with the indexes of the tokens), to using externally computed `position_embeddings` (Tuple of tensors, containing cos and sin). In v4.46 `position_ids` will be removed and `position_embeddings` will be mandatory.
(Eval) Layers:   6%|▋         | 1/16 [00:00<00:02,  5.09it/s](Eval) Layers:  19%|█▉        | 3/16 [00:00<00:01,  9.69it/s](Eval) Layers:  31%|███▏      | 5/16 [00:00<00:00, 11.62it/s](Eval) Layers:  44%|████▍     | 7/16 [00:00<00:00, 12.65it/s](Eval) Layers:  56%|█████▋    | 9/16 [00:00<00:00, 13.19it/s](Eval) Layers:  69%|██████▉   | 11/16 [00:00<00:00, 13.56it/s](Eval) Layers:  81%|████████▏ | 13/16 [00:01<00:00, 13.77it/s](Eval) Layers:  94%|█████████▍| 15/16 [00:01<00:00, 13.88it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 12.80it/s]
{"stage": "local-d-rounding", "pid": 2586699, "time": 1789353683.0526533, "cuda_visible_devices": "1", "allocated_gib": 3.8962016105651855, "reserved_gib": 4.55078125, "peak_allocated_gib": 3.9665141105651855, "gpu_time_budget": null, "strength": 0.0, "channel": 1417, "fit_rows": 49152, "heldout_rows": 16384}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353683.940984, "cuda_visible_devices": "1", "allocated_gib": 4.818154811859131, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 128}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353684.620412, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 256}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353685.2980175, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 384}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353686.0276906, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 512}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353686.7056262, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 640}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353687.3840175, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 768}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353688.0614684, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 896}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353688.7392745, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1024}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353689.419472, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1152}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353690.0973802, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1280}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353690.7755485, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1408}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353691.4535534, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1536}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353692.1313574, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1664}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353692.809861, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1792}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353693.487373, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 1920}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353694.220498, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 2048}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353694.8986306, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 2176}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353695.576383, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 2304}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353696.2538695, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 2432}
{"stage": "local-d-coordinate", "pid": 2586699, "time": 1789353696.9324293, "cuda_visible_devices": "1", "allocated_gib": 4.755639553070068, "reserved_gib": 7.80078125, "peak_allocated_gib": 7.318084239959717, "gpu_time_budget": null, "strength": 0.0, "step": 2560}
