layer,ordinal_layer,mlp_nll,mlp_ppl,mlp_delta_nll,up_nll,up_ppl,up_delta_nll,gate_nll,gate_ppl,gate_delta_nll,down_nll,down_ppl,down_delta_nll,joint_minus_sum_delta_nll
0,1,2.7390369258758973,15.47207716160865,0.005475989364084999,2.742725099467308,15.529246227916566,0.0017878157726745059,2.7433922890323106,15.539610636080209,0.0011206262076717266,2.7411419178273064,15.504680061888163,0.00337099741267588,-0.0008034500289371138
1,2,2.733742618014947,15.390379678509758,0.010770297225035197,2.7432363097486734,15.53718696777113,0.0012766054913089242,2.7438738754191525,15.547096103324257,0.0006390398208298009,2.7343380455362696,15.399546262881428,0.01017486970371273,-0.0013202177908162582
2,3,2.7407355577962567,15.498380859575503,0.0037773574437256485,2.7434846164841944,15.541045434968147,0.0010282987557879153,2.7440151147826635,15.54929212036071,0.0004978004573188421,2.7418245379996455,15.515267482446376,0.00268837724033677,-0.000437119009717879
3,4,2.74077912341611,15.499056070852266,0.0037337918238722345,2.7430559980522005,15.534385683790276,0.0014569171877818476,2.7439048613559445,15.547577852125094,0.0006080538840378402,2.7430169874654604,15.533779690110267,0.001495927774521899,0.00017289297753064758
4,5,2.739758023219756,15.483238058916944,0.004754892020226276,2.7428650384556184,15.531419526984015,0.0016478767843639552,2.7438277727824407,15.546379357722742,0.0006851424575415876,2.7420264010875934,15.51839975838553,0.0024865141523888745,-6.464137406814174e-05
5,6,2.7399418301850904,15.486084247484733,0.004571085054891899,2.7427153749514135,15.529095214249065,0.0017975402885688219,2.744006981495662,15.549165654019516,0.0005059337443205081,2.7425867574732257,15.527098029623247,0.001926157766756642,0.00034145325524592707
6,7,2.740899719980662,15.500925316478243,0.0036131952593203565,2.7435260995303326,15.541690138244997,0.0009868157096497576,2.7439979219470603,15.54902478623566,0.0005149932929220391,2.742325677663013,15.523044746954678,0.0021872375769693697,-7.585132022080998e-05
7,8,2.7380977652796408,15.457553217621712,0.006415149960341537,2.7420789516134825,15.519215279881644,0.0024339636264998354,2.7435513250903543,15.542082191027273,0.0009615901496280443,2.741472379300273,15.509804607985178,0.0030405359397094323,-2.0939755495774648e-05
8,9,2.7389950004308523,15.471428501485658,0.005517914809129998,2.742928676263211,15.532407943921521,0.0015842389767715126,2.743500179229913,15.541287298188479,0.0010127360100691263,2.741871142120473,15.515990574696206,0.0026417731195094163,0.0002791667027799427
9,10,2.7356885277452343,15.42035712532241,0.00882438749474801,2.741719299836732,15.513634770112743,0.0027936154032501825,2.742721275866357,15.52918685038944,0.0017916393736254754,2.7405574502929833,15.495620727463239,0.003955464946999054,0.0002836677708732971
10,11,2.734707408418122,15.40523533426953,0.0098055068218601,2.7409413232555995,15.501570219150908,0.003571591984382838,2.742733911793334,15.529383077300247,0.0017790034466482751,2.7397566249086536,15.483216408548403,0.004756290331328739,-0.00030137894049975245
11,12,2.7358537411017863,15.422904984746722,0.008659174138196057,2.741307451082055,15.50724681447824,0.003205464157927107,2.7427336167703253,15.529378495775605,0.0017792984696569647,2.7409988001084846,15.50246122622778,0.003514115131497686,0.00016029637911429973
12,13,2.736352506122557,15.43059930894216,0.008160409117425438,2.7422069739467045,15.521202213214757,0.002305941293277769,2.742293691152026,15.522548226854342,0.002219224087956384,2.740809677008395,15.499529629926688,0.003703238231587136,-6.799449539585112e-05
13,14,2.735725151792326,15.420921891549884,0.008787763447656527,2.7421850302642694,15.520861624619277,0.0023278849757129016,2.7413742610786516,15.50828288819479,0.003138654161330745,2.740981031868513,15.502185777223689,0.0035318833714694797,-0.00021065906085659947
14,15,2.738021357707807,15.45637218863422,0.0064915575321751184,2.742672709008221,15.528432664889067,0.0018402062317615098,2.7427758776697395,15.530034795145983,0.0017370375702427943,2.7415361310802138,15.51079341715431,0.002976784159768542,-6.247042959772742e-05
15,16,2.7337820338850345,15.390986315671247,0.010730881354947819,2.7416538257721985,15.512619062640265,0.002859089467783793,2.7428993488838334,15.531952425780714,0.0016135663561489544,2.73893292753069,15.470468174854357,0.0055799877092921335,0.0006782378217229379
