The tokenizer class you load from this checkpoint is not the same type as the class this function is called from. It may result in unexpected tokenization. 
The tokenizer class you load from this checkpoint is 'PreTrainedTokenizerFast'. 
The class this function is called from is 'LlamaTokenizerFast'.
You are using the default legacy behaviour of the <class 'transformers.models.llama.tokenization_llama_fast.LlamaTokenizerFast'>. This is expected, and simply means that the `legacy` (previous) behavior will be used so nothing changes for you. If you want to use the new behaviour, set `legacy=False`. This should only be set if you understand what it means, and thoroughly read the reason why this was added as explained in https://github.com/huggingface/transformers/pull/24565 - if you loaded a llama tokenizer from a GGUF file you can ignore this message.
Token indices sequence length is longer than the specified maximum sequence length for this model (252852 > 2048). Running this sequence through the model will result in indexing errors
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
/home/dongpeiyan/miniconda3/envs/rotation-quant-p0/lib/python3.9/site-packages/transformers/modeling_utils.py:4713: FutureWarning: `_is_quantized_training_enabled` is going to be deprecated in transformers 4.39.0. Please use `model.hf_quantizer.is_trainable` instead
  warnings.warn(
Some weights of LlamaForCausalLM were not initialized from the model checkpoint at /home/dongpeiyan/projects/rotation-quant/cache/models/llama-3.2-1b-instruct and are newly initialized: ['lm_head.weight']
You should probably TRAIN this model on a down-stream task to be able to use it for predictions and inference.
Evaluation segment 1/1: start=0, windows=8, seqlen=2048
(Eval) Layers:   0%|          | 0/16 [00:00<?, ?it/s]The attention layers in this model are transitioning from computing the RoPE embeddings internally through `position_ids` (2D tensor with the indexes of the tokens), to using externally computed `position_embeddings` (Tuple of tensors, containing cos and sin). In v4.46 `position_ids` will be removed and `position_embeddings` will be mandatory.
(Eval) Layers:   6%|▋         | 1/16 [00:00<00:03,  4.99it/s](Eval) Layers:  19%|█▉        | 3/16 [00:00<00:01,  8.69it/s](Eval) Layers:  31%|███▏      | 5/16 [00:00<00:01, 10.25it/s](Eval) Layers:  44%|████▍     | 7/16 [00:00<00:00, 10.84it/s](Eval) Layers:  56%|█████▋    | 9/16 [00:00<00:00, 10.82it/s](Eval) Layers:  69%|██████▉   | 11/16 [00:01<00:00, 11.02it/s](Eval) Layers:  81%|████████▏ | 13/16 [00:01<00:00, 10.94it/s](Eval) Layers:  94%|█████████▍| 15/16 [00:01<00:00, 10.77it/s](Eval) Layers: 100%|██████████| 16/16 [00:01<00:00, 10.49it/s]
{"stage": "sequential-round-fit", "pid": 3697102, "time": 1789701889.4780421, "cuda_visible_devices": "0", "allocated_gib": 2.8649210929870605, "reserved_gib": 3.421875, "peak_allocated_gib": 3.295128345489502, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "fit_rows": 49152, "heldout_rows": 16384}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701890.5433261, "cuda_visible_devices": "0", "allocated_gib": 4.833749294281006, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 128}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701891.308367, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 256}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701892.0700715, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 384}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701892.893919, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 512}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701893.6565828, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 640}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701894.4198315, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 768}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701895.1829462, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 896}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701895.944286, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1024}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701896.707772, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1152}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701897.4723976, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1280}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701898.2361398, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1408}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701898.9995954, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1536}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701899.7634704, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1664}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701900.5274851, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1792}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701901.2890787, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 1920}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701902.1105583, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2048}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701902.8758876, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2176}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701903.6415586, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2304}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701904.4057438, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2432}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701905.1697137, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2560}
{"stage": "sequential-round-coordinate", "pid": 3697102, "time": 1789701905.934088, "cuda_visible_devices": "0", "allocated_gib": 4.771234035491943, "reserved_gib": 7.671875, "peak_allocated_gib": 7.333678722381592, "gpu_time_budget": null, "module": "model.layers.0.mlp.down_proj", "step": 2688}
