model,method,test,c4,boolq,piqa,social_iqa,hellaswag,winogrande,arc_easy,arc_challenge,openbookqa,avg
llama-3.2-1b-instruct,BF16,13.162650325300651,21.843397624525274,69.2354740061162,74.26550598476605,41.606960081883315,60.84445329615614,60.22099447513812,63.25757575757576,37.96928327645051,34.8,55.27503085976077
llama-3.2-1b-instruct,joint,,,,,,,,,,,
llama-3.2-3b-instruct,BF16,11.049524232637005,16.894590412754148,78.37920489296636,75.57127312295974,45.18935516888434,70.50388368850827,67.95580110497238,67.88720538720538,46.075085324232084,36.4,60.99522608621606
llama-3.2-3b-instruct,joint,,,,,,,,,,,
qwen3-0.6b,BF16,20.9678441151121,30.628664122123187,63.70030581039755,67.79107725788901,39.15046059365404,47.251543517227645,56.19573796369376,55.97643097643098,34.215017064846414,31.6,49.485071648017424
qwen3-0.6b,joint,,,,,,,,,,,
qwen3-1.7b,BF16,16.715764347250076,23.136144236064272,77.52293577981652,71.9804134929271,44.98464687819857,60.466042620991836,60.93133385951065,69.73905723905723,42.74744027303754,37.4,58.221483767942416
qwen3-1.7b,joint,,,,,,,,,,,
llama-3.2-1b-instruct,no-opt,28.423738931192467,45.48045487808398,61.40672782874618,64.90750816104462,38.3828045035824,46.494722166899024,53.51223362273087,47.6010101010101,30.97269624573379,28.199999999999996,46.434712828718375
llama-3.2-1b-instruct,R-only,,,,,,,,,,,
llama-3.2-1b-instruct,fixed-down-SA,,,,,,,,,,,
